seller_id,expected_deliver_diff_mean,expected_deliver_diff_count,order_shipped_days_mean,order_shipped_days_count
31be790e64fc99f8ff48ec2bd18a3104,1.833333333,6,3.5,6
76c47a299e4a8fe992316a85865acbe9,1.833333333,6,1.333333333,6
191d55f7edb8524d525ed01b20fe32e8,2,3,5.666666667,3
20b54c376b794ed028df09a3cd88e8dc,2,7,9.571428571,7
26f6b7ab07be3e9e69ce82a6552efc19,2,2,6.5,2
2ba91c7ad80ff88b23b7db823b43c233,2,6,0.833333333,6
3442033154be05bac582e173ef54fd12,2,1,0,1
79b93a308a97792cf53ac75f46da00b5,2,1,3,1
7cb946b1ad19faebe28c3e86c2794ec3,2,1,0,1
87d73636a3acf123e842bb890a4db036,2,1,1,1
87f3e35268860433e13d577825aada95,2,1,46,1
9d69ba0a7a626a64dc5db08e529559cf,2,1,4,1
9e9b539eb2806acee3f5c28085c1db9f,2,3,6.333333333,3
a3fa18b3f688ec0fca3eb8bfcbd2d5b3,2,1,7,1
b5b800c4065bebf4d3442311c9857344,2,1,3,1
b6f52e346160519c24a23af05410ad32,2,1,1,1
ec8463980a4e0ea9f8517aea1ed0c419,2,2,5,2
fb8904a8ea99f8831b64ce27db2c1765,2,2,1.5,2
fdf736c18c589ed030e058312203e1b2,2,1,1,1
fe87f472055fbcf1d7e691c00b1560dc,2,6,2.833333333,6
02d35243ea2e497335cd0f076b45675d,2.083333333,12,11.25,12
94b9108d4b637ba65bb4f1e53cfcf8d8,2.142857143,7,3.714285714,7
717b78b0950b51ed00b1471d858b0edc,2.2,5,4.4,5
ca4b77513ac2040591b0d8fae6958380,2.214285714,14,1.571428571,14
3903c788ded8dc03b5ebab37a2f3e9a1,2.25,4,5,4
5275ca25d0358ca73864e0ae41be1320,2.25,4,2.25,4
b5abf4f36adc043117b4fca82c22984c,2.25,8,12.875,8
54965bbe3e4f07ae045b90b0b8541f52,2.333333333,72,14.93055556,72
83f2b4881141ce3fcd4e985125d3279e,2.333333333,3,4,3
902c99f1ac505c0d18778b61bcd636f7,2.333333333,3,1,3
70125af26c2d6d4ef401a1d02ae7701f,2.4,5,1.4,5
83b08de96980757220871b31bf6cffca,2.4,5,3.8,5
52a50b42accf164f9f019941e5759d9b,2.5,4,1,4
71593c7413973a1e160057b80d4958f6,2.5,2,7.5,2
8ccf3cf69651cc1d8a02c8bfaf3b8568,2.5,2,2,2
92c8bc6e8f925792247656fed09aad65,2.5,2,1,2
a20d8058c866dbaeca014d2cd20ac62e,2.5,2,2,2
e0487761face83d64fcada2408959a36,2.5,2,1,2
6bd69102ab48df500790a8cecfc285c2,2.6,5,7,5
9cad4b68bb993ee401a3c5aaa2bc26dd,2.75,4,2,4
4c8b8048e33af2bf94f2eb547746a916,2.882352941,17,5.411764706,17
0417b067eeab773d2f7061a726dc477f,2.923076923,13,1.307692308,13
0a198e95d32b1be2da9424c962a6ebfa,3,1,12,1
1746c1ae87ac63d530c7c943d0ac42e2,3,1,7,1
1f7dfad2cb384ea4d2d7e1ffbd78c407,3,1,4,1
4125d9385a25e82d2f72d3a0fd55bc3f,3,1,4,1
4c61e37f664c3c88aff092aa5ac779d7,3,7,2.142857143,7
50a7e551a7b3f8d37cd6e32d8bfbe5ea,3,1,6,1
70ee69419916dc13e3aed619061f996c,3,1,11,1
961dff0a659b4561334372337dd897d9,3,3,17.33333333,3
a3b42d266fa8afc874b909422ce88582,3,1,1,1
b5f0712d22a873b6797ab6cc65c3fcba,3,1,1,1
